City_ID,City,Country,Date,Lat,Lng,Overall Weather,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
429,Kumluca,TR,2022-02-06 15:06:12,36.3703,30.2869,Clouds,overcast clouds,56.68,75,89,2.66,0.0,0.0
430,Aksu,CN,2022-02-06 15:06:12,41.1231,80.2644,Clouds,broken clouds,24.62,44,79,4.18,0.0,0.0
431,Yabrud,SY,2022-02-06 15:06:12,33.9674,36.6574,Clouds,scattered clouds,44.26,67,50,2.91,0.0,0.0
432,Vila Velha,BR,2022-02-06 15:04:46,-20.3297,-40.2925,Clouds,scattered clouds,87.75,64,40,15.99,0.0,0.0
433,Oldenburg,DE,2022-02-06 15:06:13,53.1667,8.2,Clouds,overcast clouds,44.91,92,100,17.22,0.0,0.0
434,Mayahi,NE,2022-02-06 15:06:13,13.9553,7.6712,Clear,clear sky,85.77,8,0,14.41,0.0,0.0
435,Isla Mujeres,MX,2022-02-06 15:06:14,21.2311,-86.731,Clouds,broken clouds,73.45,82,58,15.3,0.0,0.0
436,Kodinar,IN,2022-02-06 15:06:14,20.7903,70.7031,Clear,clear sky,68.09,68,6,9.37,0.0,0.0
437,Gizo,SB,2022-02-06 15:06:14,-8.103,156.8419,Clouds,overcast clouds,83.12,78,94,13.91,0.0,0.0
438,Tommot,RU,2022-02-06 15:06:15,58.9564,126.2925,Clouds,broken clouds,-23.13,99,71,2.26,0.0,0.0
439,Gogaran,AM,2022-02-06 15:06:15,40.8926,44.1992,Clouds,overcast clouds,17.44,78,99,6.2,0.0,0.0
440,Udachnyy,RU,2022-02-06 15:06:16,66.4167,112.4,Clouds,overcast clouds,-11.45,99,99,3.31,0.0,0.0
441,Nouakchott,MR,2022-02-06 15:06:16,18.0858,-15.9785,Clear,clear sky,93.13,39,0,8.7,0.0,0.0
442,Ibotirama,BR,2022-02-06 15:06:16,-12.1853,-43.2206,Clouds,overcast clouds,79.84,71,95,2.68,0.0,0.0
443,Atbasar,KZ,2022-02-06 15:06:17,51.8,68.3333,Clouds,broken clouds,8.92,86,80,10.31,0.0,0.0
444,Aluksne,LV,2022-02-06 15:06:17,57.4167,27.05,Snow,light snow,31.48,97,100,13.42,0.0,0.0
