City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
527,Namibe,AO,78.55,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
529,El Alto,PE,74.86,broken clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
530,Tabou,CI,84.34,broken clouds,4.423,-7.3528,hotêl doufoulougou
531,Port Blair,IN,79.74,clear sky,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
534,Coihaique,CL,68.61,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
535,San Ignacio,BZ,68.04,overcast clouds,17.1561,-89.0714,Rainforest Haven Inn
536,Matara,LK,77.49,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
537,Saint-Joseph,RE,80.98,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
540,Thinadhoo,MV,82.72,clear sky,0.5333,72.9333,
541,Teluk Intan,MY,75.02,overcast clouds,4.0259,101.0213,Angsoka Hotel Teluk Intan
542,Beira,MZ,81.5,light rain,-19.8436,34.8389,Beira Terrace Hotel
545,Amahai,ID,79.21,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
546,Kuah,MY,82.09,heavy intensity rain,6.3265,99.8432,Azio Hotel
548,Nioaque,BR,82.13,overcast clouds,-21.1353,-55.83,Nioaque Novo Hotel
